blockgr10,rs,sfpar,mfpar,cdpar,aptpar,othpar,alsales,sfsales,mfsales,cdsales,f,f_bor,f_tax,f_mort,gt1_alsales,gt1_sfsales,gt1_mfsales,gt1_cdsales,cntynme10,area10,demo,mf_s8prop,assisted_units_count,property_total_unit_count,pop,vac_hunit,rent_hunit,com_area,rvac_area,pv,n_sales_17,med_sfarea17,med_sfprice17,med_sfprice_per_sqft17,n_sales_18,med_sfarea18,med_sfprice18,med_sfprice_per_sqft18,n_sales_19,med_sfarea19,med_sfprice19,med_sfprice_per_sqft19,med_alsales,med_sfsales,med_mfsales,med_cdsales,med_alpricesft,med_sfpricesft,med_mfpricesft,med_cdpricesft,std_alpricesft,std_sfpricesft,std_mfpricesft,std_cdpricesft,_gt1_alsales,_gt1_sfsales,_gt1_mfsales,_gt1_cdsales,_mf_s8prop,_com_area,_rvac_area,_pv
390351011011,189,124.33333333,64.666666667,0,0,0,53,33,20,0,12,0,6,6,44,29,15,0,Cuyahoga,0.0566998766,2,0,0,0,941,78,164,0.0168306287,0.0041494132,39,11,1602,40000,24.174053183,8,1851,128000,68.819119431,14,1220,70000,54.568797216,1.2045454545,1.1379310345,1.3333333333,,34.53307393,51.948051948,19.327492805,,26.706761648,27.022125814,22.409812758,,23.28,15.34,7.94,0,0,29.68,7.32,20.63
390351011012,102.33333333,53.333333333,47,0,0,2,20,12,8,0,3,0,2,1,16,11,5,0,Cuyahoga,0.061409937,5,0,0,0,1150,69,600,0.009830765,0.0018793044,18,4,1258,42250,33.723563158,3,1946,53000,32.196969697,5,1743,48000,43.346774194,1.25,1.0909090909,1.6,,31.828821927,34.091710928,24.476666976,,16.299962645,15.28381988,17.228176983,,15.64,10.75,4.89,0,0,16.01,3.06,17.59
390351011021,784.66666667,277.66666667,77.666666667,255,0,174.33333333,70,36,14,20,12,1,0,11,66,34,13,19,Cuyahoga,0.3117130272,4,1,105,108,2411,254,1080,0.0483490086,0.0308392519,35,10,2108.5,281200,124.17011298,15,2864,455000,168.04692356,11,2018,215000,118.78453039,1.0606060606,1.0588235294,1.0769230769,1.0526315789,87.418002343,143.16475561,60.46380706,76.888888889,71.385663533,66.225184441,95.649406406,21.353629039,8.41,4.33,1.66,2.42,0.13,15.51,9.89,4.46
390351011022,302.33333333,134.33333333,167,0,0,1,39,15,24,0,2,0,0,2,36,14,22,0,Cuyahoga,0.1275368843,1,0,0,0,2106,47,416,0.0091688189,0.0031000344,34,3,1040,136000,144.15505754,7,1612,167000,122.15435869,5,1804,142500,86.538461538,1.0833333333,1.0714285714,1.0909090909,,67.957166392,130.76923077,54.396168556,,62.878038247,70.769546961,13.481466361,,11.91,4.63,7.28,0,0,7.19,2.43,11.25
390351011023,233,110.66666667,122.33333333,0,0,0,52,24,28,0,5,0,3,2,50,23,27,0,Cuyahoga,0.0722389447,2,0,0,0,756,13,260,0.0018430039,0,27,7,1617,135000,68.954854669,6,1563.5,161500,98.797074119,11,1583,219000,139.14656772,1.04,1.0434782609,1.037037037,,64.608532191,99.741471402,54.04704702,,41.263500193,41.778290929,18.122513951,,21.46,9.87,11.59,0,0,2.55,0,11.59
390351012001,383.33333333,142.33333333,84.666666667,155,0,2,120,27,25,68,4,1,1,2,107,25,21,61,Cuyahoga,0.3667515062,4,0,0,0,1280,106,541,0.0999639865,0.0230799831,26,13,1600,174000,124.92492492,7,1456,273000,177.83046829,7,1327,215000,166.9921875,1.1214953271,1.08,1.1904761905,1.1147540984,166.9921875,165.27196653,79.545454545,187.68768769,61.924958042,57.419677071,60.519344193,45.397446433,27.91,6.52,5.48,15.91,0,27.26,6.29,6.78
390351012002,190.33333333,97,52.666666667,40.666666667,0,0,74,31,24,19,6,0,0,6,59,23,18,18,Cuyahoga,0.134469735,2,2,205,205,1180,181,584,0.0526743285,0.0044142777,27,12,1537,150450,96.246955021,5,1335,95000,89.887640449,14,1755,200250,142.12534082,1.2542372881,1.24,1.3333333333,1.0555555556,91.49176543,115.48913043,47.275242847,208.6495308,76.706804966,68.91373807,20.06784074,35.29539447,31,12.08,9.46,9.46,1.05,39.17,3.28,14.19
390351013001,230.66666667,119.66666667,70,40,0,1,60,30,20,10,7,2,1,4,53,27,16,10,Cuyahoga,0.2419903104,2,0,0,0,1772,244,749,0.1287001406,0.0069984289,67,7,1480,72500,57.341907824,8,1696,90000,60.500643225,15,1560,61900,55.865921788,1.1320754717,1.1111111111,1.25,1,52.622906642,58.216408458,39.268556164,100.54406378,36.630231299,33.845291313,15.968385247,30.317808398,22.98,11.71,6.94,4.34,0,53.18,2.89,29.05
390351014001,355,270,85,0,0,0,70,45,25,0,25,4,10,11,60,41,19,0,Cuyahoga,0.3684345256,3,0,0,0,1104,40,259,0.0524864411,0.006468628,56,12,991.5,23950,22.301454139,20,1072,32500,33.457009093,13,988,33000,33.776867963,1.1666666667,1.0975609756,1.3157894737,,27.880943722,27.820710974,27.941176471,,16.26183266,18.493678846,11.298069508,,16.9,11.55,5.35,0,0,14.25,1.76,15.77
390351014002,279.33333333,189.33333333,87.666666667,0,0,2.3333333333,61,35,26,0,12,2,4,6,53,31,22,0,Cuyahoga,0.1269141015,2,0,0,0,1204,76,315,0.1134740875,0.0016760288,34,9,1200,35100,26.690391459,11,1352,59400,43.194374686,15,1193,62000,53.264604811,1.1509433962,1.1290322581,1.1818181818,,35.926305015,46.610169492,30.869675456,,18.166892169,21.608170339,9.6573642105,,18.97,11.1,7.88,0,0,89.41,1.32,12.17
390351015011,547,366.66666667,177.66666667,0,0,2.6666666667,126,76,50,0,35,8,15,12,106,63,43,0,Cuyahoga,0.2004167587,7,1,116,116,2368,64,626,0.03651282,0.0058863493,72,20,1028.5,25500,22.05539873,24,1109,38750,29.685959974,32,1264,37150,28.265480163,1.1886792453,1.2063492063,1.1627906977,,26.393818651,26.948171534,25.720564791,,22.383691005,25.057546492,17.621067297,,19.38,11.52,7.86,0,0.18,18.22,2.94,13.16
390351016031,167.33333333,127,40.333333333,0,0,0,37,29,8,0,9,0,4,5,32,24,8,0,Cuyahoga,0.089905822,1,0,0,0,962,59,254,0.0434702135,0.0049471993,42,9,1242,25000,16.272189349,10,1221,28200,22.320853462,10,1322.5,56950,37.910643461,1.15625,1.2083333333,1,,27.212806026,22.5,34.701587469,,14.452913346,14.270309067,14.634461988,,19.12,14.34,4.78,0,0,48.35,5.5,25.1
390351016032,207.66666667,144,62.666666667,0,0,1,47,28,19,0,9,2,1,6,40,25,15,0,Cuyahoga,0.0506342114,3,0,0,0,856,33,194,0.0046968621,0.0030985279,34,12,1607,30500,23.997469783,4,1388,17350,13.036637931,12,1452.5,45250,32.495454821,1.175,1.12,1.2666666667,,23.226351351,23.997469783,23.226351351,,18.799216249,22.170184317,11.960216936,,19.26,12.04,7.22,0,0,9.28,6.12,16.37
390351016033,131.33333333,83,48.333333333,0,0,0,38,19,19,0,11,1,5,5,30,15,15,0,Cuyahoga,0.0436137156,2,0,0,0,712,46,110,0.0066934616,0.0053339503,19,7,1780,28150,18.440292445,6,1442,41900,31.319355847,6,1397.5,33500,23.439732143,1.2666666667,1.2666666667,1.2666666667,,19.206624312,24,17.231476163,,12.204248123,12.587645452,11.757295228,,22.84,11.42,11.42,0,0,15.35,12.23,14.47
390351016034,153.66666667,117,30.333333333,6,0,1,26,24,1,1,6,0,3,3,22,20,1,1,Cuyahoga,0.0459816802,1,0,0,0,340,57,34,0.0006644929,0.0061355386,21,4,1155,34000,27.065802674,8,1261,49000,45.417803506,12,1173.5,30575,27.73799868,1.1818181818,1.2,1,1,33.327136832,33.327136832,19.144144144,61.24807396,22.855945731,22.935673063,,,14.32,13.02,0.65,0.65,0,1.45,13.34,13.67
390351017001,80.666666667,59,21.666666667,0,0,0,17,7,10,0,9,7,1,1,13,7,6,0,Cuyahoga,0.1154549751,4,2,97,97,922,92,427,0.0669891744,0,13,1,1890,4300,2.2751322751,5,1206,8750,7.1721311475,1,1180,17000,14.406779661,1.3076923077,1,1.6666666667,,13.61741547,7.1721311475,14.815627744,,9.1760213859,6.7153420357,9.504479503,,16.12,8.68,7.44,0,2.48,58.02,0,16.12
390351017002,285,209.33333333,75.666666667,0,0,0,80,53,27,0,32,6,10,16,65,44,21,0,Cuyahoga,0.0779107857,4,0,0,0,1177,161,360,0.0084724733,0.0068983155,60,16,1429,29500,22.460928163,12,1343,41550,32.340186772,25,1389,37000,27.777777778,1.2307692308,1.2045454545,1.2857142857,,23.053103849,27.777777778,17.650462963,,18.812467687,20.469959039,11.678035622,,22.81,15.44,7.37,0,0,10.87,8.85,21.05
390351017003,215.66666667,150,49,16,0,2,44,34,9,1,7,0,2,5,38,29,8,1,Cuyahoga,0.0913131644,2,0,0,0,360,86,135,0.009794895,0.0117957272,50,9,1393,27900,20.758122744,14,1503.5,29250,21.230691862,11,1401,47500,36.111111111,1.1578947368,1.1333333333,1.125,1,20.810979381,20.810979381,16.328828829,418.58617951,63.916338984,27.455557802,16.3631968,,17.62,13.45,3.71,0.46,0,10.73,12.92,23.18
